step,callsign_a,callsign_b,h_sep_nm,v_sep_ft,alt_a_ft,alt_b_ft,lat_a,lon_a,lat_b,lon_b,duration_steps,resolved_step,severity
0,NKS1336,NKS687,2.7606,320.0,1120.14,1013.46,29.89228820800781,-95.2438589242788,29.90669379800053,-95.26654411764709,18,18,HIGH
0,NKS1708,UAL723,2.7417,53.3,1021.08,1127.76,29.9186577231197,-95.27206420898438,29.92140430515095,-95.32342529296876,24,24,MODERATE
0,UAL1795,UAL2215,2.982,342.9,1028.7,1013.46,25.81074860136388,-80.18143563900355,25.8046875,-80.20090738932288,98,98,HIGH
0,AAL2217,AAL714,2.9893,442.0,1021.08,1021.08,25.76788330078125,-80.40781656901038,25.778961181640625,-80.39108276367188,67,67,HIGH
0,ENY3689,NKS939,2.975,342.9,1013.46,1021.08,25.83526611328125,-80.15562813237028,25.829177856445312,-80.15975952148438,149,149,CRITICAL
0,NKS1155,NKS1904,2.9199,144.8,1036.3200000000002,1097.28,29.90343514135328,-95.28399299172791,29.9381103515625,-95.24871826171876,6,6,MODERATE
0,NKS1847,UAL1114,2.3018,205.7,1028.7,1021.08,29.891921997070312,-95.24417583759016,29.90711975097656,-95.26646540715144,40,40,HIGH
0,AAL1465,NKS1498,2.9973,53.3,1021.08,1021.08,29.90716552734375,-95.22891117976263,29.90272521972656,-95.25827847994287,60,60,HIGH
0,FFT3470,UAL759,2.7446,243.8,1257.3,1028.7,29.938247680664062,-95.23988611557904,29.901168823242188,-95.25801438551684,7,7,MODERATE
0,AJT8541,UAL1927,2.9588,53.3,1013.46,1036.3200000000002,25.78924146749205,-80.22221979105245,25.81187438964844,-80.17740885416663,5,5,MODERATE
0,NKS3010,NKS687,2.9693,106.7,1021.08,1013.46,29.896408081054688,-95.25035564716046,29.90669379800053,-95.26654411764709,12,12,HIGH
0,FFT1418,NKS1336,2.8295,129.5,1013.46,1120.14,29.937837245100635,-95.24602661132808,29.89228820800781,-95.2438589242788,2,2,MODERATE
0,AAL1856,AAL368,2.9462,83.8,1036.3200000000002,1181.1,25.766510009765625,-80.17868041992188,25.765173960540253,-80.17500967349645,410,410,CRITICAL
0,NKS2801,UAL759,2.8226,495.3,1021.08,1028.7,29.895675659179688,-95.2488767183744,29.901168823242188,-95.25801438551684,290,290,CRITICAL
0,FFT1737,NKS1562,2.9904,640.1,1013.46,1005.84,28.356830144332623,-81.34358125574448,28.350906372070312,-81.35032653808594,174,174,CRITICAL
0,FFT3470,SWA4490,0.7533,167.6,1257.3,1120.14,29.938247680664062,-95.23988611557904,29.9381103515625,-95.24979535271144,33,33,CRITICAL
0,FFT1418,NKS687,2.9686,91.4,1013.46,1013.46,29.937837245100635,-95.24602661132808,29.90669379800053,-95.26654411764709,18,18,MODERATE
0,AAL1613,AAL967,0.0853,998.2,1036.3200000000002,1013.46,25.764816284179688,-80.17410278320312,25.76083374023437,-80.1656595865885,167,167,CRITICAL
0,UAL1114,UAL1167,1.7847,327.7,1021.08,1188.72,29.90711975097656,-95.26646540715144,29.89254191770392,-95.24397906135113,41,41,HIGH
0,AAL1465,UAL1114,2.677,342.9,1021.08,1021.08,29.90716552734375,-95.22891117976263,29.90711975097656,-95.26646540715144,51,51,HIGH
0,NKS1498,UAL2245,1.5937,236.2,1021.08,1059.18,29.90272521972656,-95.25827847994287,29.905483439817267,-95.26552088120404,11,11,CRITICAL
0,NKS1155,NKS3010,1.9438,53.3,1036.3200000000002,1021.08,29.90343514135328,-95.28399299172791,29.896408081054688,-95.25035564716046,10,10,HIGH
0,NKS797,UAL496,1.6908,983.0,1112.52,1021.08,29.938023454051905,-95.25860595703124,29.933074951171875,-95.25658102596508,50,50,CRITICAL
0,NKS797,UAL1167,2.9868,61.0,1112.52,1188.72,29.938023454051905,-95.25860595703124,29.89254191770392,-95.24397906135113,5,5,MODERATE
0,AAL1465,UAL2657,1.8363,701.0,1021.08,1028.7,29.90716552734375,-95.22891117976263,29.9154052734375,-95.27386833639709,18,18,MODERATE
0,AAL1613,SHH906,2.114,876.3,1036.3200000000002,1021.08,25.764816284179688,-80.17410278320312,25.77328491210937,-80.19098917643225,170,170,HIGH
0,UAL413,UAL759,2.9756,83.8,1074.42,1028.7,29.900894165039062,-95.25917640099158,29.901168823242188,-95.25801438551684,37,37,CRITICAL
0,AAL368,NAC802,2.961,289.6,1181.1,1013.46,25.765173960540253,-80.17500967349645,25.772063691737287,-80.1933547685731,111,111,HIGH
0,AJT8541,N453QS,2.2306,106.7,1013.46,1028.7,25.78924146749205,-80.22221979105245,25.787017822265625,-80.21835327148438,302,302,CRITICAL
0,NKS272,NKS797,2.9767,350.5,1074.42,1112.52,29.897003173828125,-95.2521514892578,29.938023454051905,-95.25860595703124,22,22,MODERATE
0,NKS1498,UAL759,2.9963,883.9,1021.08,1028.7,29.90272521972656,-95.25827847994287,29.901168823242188,-95.25801438551684,149,149,CRITICAL
0,ENY3814,FFT4426,1.82,495.3,1043.94,1264.92,29.91156005859375,-95.27225269990812,29.91632080078125,-95.26740579044116,15,15,CRITICAL
0,NKS1847,UAL1167,1.4653,38.1,1028.7,1188.72,29.891921997070312,-95.24417583759016,29.89254191770392,-95.24397906135113,41,41,CRITICAL
0,AAL1465,NKS1847,2.9187,312.4,1021.08,1028.7,29.90716552734375,-95.22891117976263,29.891921997070312,-95.24417583759016,31,31,HIGH
